"productkey","productalternatekey","productsubcategorykey","product","productsubcategoryalternatekey","subcategory","productcategorykey","productcategoryalternatekey","category"
349,"BK-M82B-42",1,"Mountain-100 Black, 42",1,"Mountain Bikes",1,1,"Bikes"
348,"BK-M82B-38",1,"Mountain-100 Black, 38",1,"Mountain Bikes",1,1,"Bikes"
347,"BK-M82S-48",1,"Mountain-100 Silver, 48",1,"Mountain Bikes",1,1,"Bikes"
346,"BK-M82S-44",1,"Mountain-100 Silver, 44",1,"Mountain Bikes",1,1,"Bikes"
345,"BK-M82S-42",1,"Mountain-100 Silver, 42",1,"Mountain Bikes",1,1,"Bikes"
344,"BK-M82S-38",1,"Mountain-100 Silver, 38",1,"Mountain Bikes",1,1,"Bikes"
343,"BK-R50B-52",2,"Road-650 Black, 52",2,"Road Bikes",1,1,"Bikes"
342,"BK-R50B-52",2,"Road-650 Black, 52",2,"Road Bikes",1,1,"Bikes"
341,"BK-R50B-48",2,"Road-650 Black, 48",2,"Road Bikes",1,1,"Bikes"
340,"BK-R50B-48",2,"Road-650 Black, 48",2,"Road Bikes",1,1,"Bikes"
339,"BK-R50B-44",2,"Road-650 Black, 44",2,"Road Bikes",1,1,"Bikes"
338,"BK-R50B-44",2,"Road-650 Black, 44",2,"Road Bikes",1,1,"Bikes"
337,"BK-R50B-62",2,"Road-650 Black, 62",2,"Road Bikes",1,1,"Bikes"
336,"BK-R50B-62",2,"Road-650 Black, 62",2,"Road Bikes",1,1,"Bikes"
334,"BK-R50B-60",2,"Road-650 Black, 60",2,"Road Bikes",1,1,"Bikes"
333,"BK-R50B-58",2,"Road-650 Black, 58",2,"Road Bikes",1,1,"Bikes"
332,"BK-R50B-58",2,"Road-650 Black, 58",2,"Road Bikes",1,1,"Bikes"
331,"BK-R50R-52",2,"Road-650 Red, 52",2,"Road Bikes",1,1,"Bikes"
330,"BK-R50R-52",2,"Road-650 Red, 52",2,"Road Bikes",1,1,"Bikes"
329,"BK-R50R-48",2,"Road-650 Red, 48",2,"Road Bikes",1,1,"Bikes"
328,"BK-R50R-48",2,"Road-650 Red, 48",2,"Road Bikes",1,1,"Bikes"
327,"BK-R50R-44",2,"Road-650 Red, 44",2,"Road Bikes",1,1,"Bikes"
326,"BK-R50R-44",2,"Road-650 Red, 44",2,"Road Bikes",1,1,"Bikes"
325,"BK-R50R-62",2,"Road-650 Red, 62",2,"Road Bikes",1,1,"Bikes"
324,"BK-R50R-62",2,"Road-650 Red, 62",2,"Road Bikes",1,1,"Bikes"
323,"BK-R50R-60",2,"Road-650 Red, 60",2,"Road Bikes",1,1,"Bikes"
322,"BK-R50R-60",2,"Road-650 Red, 60",2,"Road Bikes",1,1,"Bikes"
321,"BK-R50R-58",2,"Road-650 Red, 58",2,"Road Bikes",1,1,"Bikes"
320,"BK-R50R-58",2,"Road-650 Red, 58",2,"Road Bikes",1,1,"Bikes"
319,"BK-R68R-52",2,"Road-450 Red, 52",2,"Road Bikes",1,1,"Bikes"
318,"BK-R68R-48",2,"Road-450 Red, 48",2,"Road Bikes",1,1,"Bikes"
317,"BK-R68R-44",2,"Road-450 Red, 44",2,"Road Bikes",1,1,"Bikes"
316,"BK-R68R-60",2,"Road-450 Red, 60",2,"Road Bikes",1,1,"Bikes"
315,"BK-R68R-58",2,"Road-450 Red, 58",2,"Road Bikes",1,1,"Bikes"
314,"BK-R93R-56",2,"Road-150 Red, 56",2,"Road Bikes",1,1,"Bikes"
313,"BK-R93R-52",2,"Road-150 Red, 52",2,"Road Bikes",1,1,"Bikes"
312,"BK-R93R-48",2,"Road-150 Red, 48",2,"Road Bikes",1,1,"Bikes"
311,"BK-R93R-44",2,"Road-150 Red, 44",2,"Road Bikes",1,1,"Bikes"
310,"BK-R93R-62",2,"Road-150 Red, 62",2,"Road Bikes",1,1,"Bikes"
531,"FR-M21B-42",12,"LL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
210,"FR-R92B-58",14,"HL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
211,"FR-R92R-58",14,"HL Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
238,"FR-R92R-62",14,"HL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
239,"FR-R92R-62",14,"HL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
240,"FR-R92R-62",14,"HL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
241,"FR-R92R-44",14,"HL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
242,"FR-R92R-44",14,"HL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
243,"FR-R92R-44",14,"HL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
244,"FR-R92R-48",14,"HL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
245,"FR-R92R-48",14,"HL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
246,"FR-R92R-48",14,"HL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
247,"FR-R92R-52",14,"HL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
248,"FR-R92R-52",14,"HL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
249,"FR-R92R-52",14,"HL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
250,"FR-R92R-56",14,"HL Road Frame - Red, 56",14,"Road Frames",2,2,"Components"
251,"FR-R92R-56",14,"HL Road Frame - Red, 56",14,"Road Frames",2,2,"Components"
252,"FR-R92R-56",14,"HL Road Frame - Red, 56",14,"Road Frames",2,2,"Components"
253,"FR-R38B-58",14,"LL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
254,"FR-R38B-58",14,"LL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
255,"FR-R38B-58",14,"LL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
256,"FR-R38B-60",14,"LL Road Frame - Black, 60",14,"Road Frames",2,2,"Components"
257,"FR-R38B-60",14,"LL Road Frame - Black, 60",14,"Road Frames",2,2,"Components"
258,"FR-R38B-60",14,"LL Road Frame - Black, 60",14,"Road Frames",2,2,"Components"
259,"FR-R38B-62",14,"LL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
260,"FR-R38B-62",14,"LL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
261,"FR-R38B-62",14,"LL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
262,"FR-R38R-44",14,"LL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
263,"FR-R38R-44",14,"LL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
264,"FR-R38R-48",14,"LL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
265,"FR-R38R-48",14,"LL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
266,"FR-R38R-52",14,"LL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
267,"FR-R38R-52",14,"LL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
268,"FR-R38R-58",14,"LL Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
269,"FR-R38R-58",14,"LL Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
270,"FR-R38R-60",14,"LL Road Frame - Red, 60",14,"Road Frames",2,2,"Components"
271,"FR-R38R-60",14,"LL Road Frame - Red, 60",14,"Road Frames",2,2,"Components"
272,"FR-R38R-62",14,"LL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
273,"FR-R38R-62",14,"LL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
274,"FR-R72R-44",14,"ML Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
275,"FR-R72R-48",14,"ML Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
276,"FR-R72R-52",14,"ML Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
277,"FR-R72R-58",14,"ML Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
278,"FR-R72R-60",14,"ML Road Frame - Red, 60",14,"Road Frames",2,2,"Components"
279,"FR-R38B-44",14,"LL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
280,"FR-R38B-44",14,"LL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
281,"FR-R38B-44",14,"LL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
282,"FR-R38B-48",14,"LL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
283,"FR-R38B-48",14,"LL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
284,"FR-R38B-48",14,"LL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
285,"FR-R38B-52",14,"LL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
286,"FR-R38B-52",14,"LL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
287,"FR-R38B-52",14,"LL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
288,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
289,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
290,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
291,"FR-M94S-44",12,"HL Mountain Frame - Silver, 44",12,"Mountain Frames",2,2,"Components"
292,"FR-M94S-52",12,"HL Mountain Frame - Silver, 48",12,"Mountain Frames",2,2,"Components"
293,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46",12,"Mountain Frames",2,2,"Components"
294,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46",12,"Mountain Frames",2,2,"Components"
295,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46",12,"Mountain Frames",2,2,"Components"
296,"FR-M94B-42",12,"HL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
297,"FR-M94B-42",12,"HL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
298,"FR-M94B-42",12,"HL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
299,"FR-M94B-44",12,"HL Mountain Frame - Black, 44",12,"Mountain Frames",2,2,"Components"
300,"FR-M94B-48",12,"HL Mountain Frame - Black, 48",12,"Mountain Frames",2,2,"Components"
301,"FR-M94B-46",12,"HL Mountain Frame - Black, 46",12,"Mountain Frames",2,2,"Components"
302,"FR-M94B-46",12,"HL Mountain Frame - Black, 46",12,"Mountain Frames",2,2,"Components"
303,"FR-M94B-46",12,"HL Mountain Frame - Black, 46",12,"Mountain Frames",2,2,"Components"
304,"FR-M94B-38",12,"HL Mountain Frame - Black, 38",12,"Mountain Frames",2,2,"Components"
305,"FR-M94B-38",12,"HL Mountain Frame - Black, 38",12,"Mountain Frames",2,2,"Components"
306,"FR-M94B-38",12,"HL Mountain Frame - Black, 38",12,"Mountain Frames",2,2,"Components"
307,"FR-M94S-38",12,"HL Mountain Frame - Silver, 38",12,"Mountain Frames",2,2,"Components"
308,"FR-M94S-38",12,"HL Mountain Frame - Silver, 38",12,"Mountain Frames",2,2,"Components"
309,"FR-M94S-38",12,"HL Mountain Frame - Silver, 38",12,"Mountain Frames",2,2,"Components"
391,"FK-1639",10,"LL Fork",10,"Forks",2,2,"Components"
392,"FK-5136",10,"ML Fork",10,"Forks",2,2,"Components"
393,"FK-9939",10,"HL Fork",10,"Forks",2,2,"Components"
394,"HS-0296",11,"LL Headset",11,"Headsets",2,2,"Components"
395,"HS-2451",11,"ML Headset",11,"Headsets",2,2,"Components"
396,"HS-3479",11,"HL Headset",11,"Headsets",2,2,"Components"
397,"HB-M243",4,"LL Mountain Handlebars",4,"Handlebars",2,2,"Components"
398,"HB-M243",4,"LL Mountain Handlebars",4,"Handlebars",2,2,"Components"
399,"HB-M763",4,"ML Mountain Handlebars",4,"Handlebars",2,2,"Components"
400,"HB-M763",4,"ML Mountain Handlebars",4,"Handlebars",2,2,"Components"
401,"HB-M918",4,"HL Mountain Handlebars",4,"Handlebars",2,2,"Components"
402,"HB-M918",4,"HL Mountain Handlebars",4,"Handlebars",2,2,"Components"
403,"HB-R504",4,"LL Road Handlebars",4,"Handlebars",2,2,"Components"
404,"HB-R504",4,"LL Road Handlebars",4,"Handlebars",2,2,"Components"
405,"HB-R720",4,"ML Road Handlebars",4,"Handlebars",2,2,"Components"
406,"HB-R720",4,"ML Road Handlebars",4,"Handlebars",2,2,"Components"
407,"HB-R956",4,"HL Road Handlebars",4,"Handlebars",2,2,"Components"
408,"HB-R956",4,"HL Road Handlebars",4,"Handlebars",2,2,"Components"
409,"FR-M63B-38",12,"ML Mountain Frame - Black, 38",12,"Mountain Frames",2,2,"Components"
410,"FW-M423",17,"LL Mountain Front Wheel",17,"Wheels",2,2,"Components"
411,"FW-M762",17,"ML Mountain Front Wheel",17,"Wheels",2,2,"Components"
412,"FW-M928",17,"HL Mountain Front Wheel",17,"Wheels",2,2,"Components"
413,"FW-R623",17,"LL Road Front Wheel",17,"Wheels",2,2,"Components"
414,"FW-R762",17,"ML Road Front Wheel",17,"Wheels",2,2,"Components"
415,"FW-R820",17,"HL Road Front Wheel",17,"Wheels",2,2,"Components"
416,"FW-T905",17,"Touring Front Wheel",17,"Wheels",2,2,"Components"
417,"FR-R72Y-38",14,"ML Road Frame-W - Yellow, 38",14,"Road Frames",2,2,"Components"
418,"FR-R72Y-38",14,"ML Road Frame-W - Yellow, 38",14,"Road Frames",2,2,"Components"
419,"RW-M423",17,"LL Mountain Rear Wheel",17,"Wheels",2,2,"Components"
420,"RW-M762",17,"ML Mountain Rear Wheel",17,"Wheels",2,2,"Components"
421,"RW-M928",17,"HL Mountain Rear Wheel",17,"Wheels",2,2,"Components"
422,"RW-R623",17,"LL Road Rear Wheel",17,"Wheels",2,2,"Components"
423,"RW-R762",17,"ML Road Rear Wheel",17,"Wheels",2,2,"Components"
424,"RW-R820",17,"HL Road Rear Wheel",17,"Wheels",2,2,"Components"
425,"RW-T905",17,"Touring Rear Wheel",17,"Wheels",2,2,"Components"
426,"FR-M63B-40",12,"ML Mountain Frame - Black, 40",12,"Mountain Frames",2,2,"Components"
427,"FR-M63B-44",12,"ML Mountain Frame - Black, 44",12,"Mountain Frames",2,2,"Components"
428,"FR-M63B-48",12,"ML Mountain Frame - Black, 48",12,"Mountain Frames",2,2,"Components"
429,"FR-R72Y-40",14,"ML Road Frame-W - Yellow, 40",14,"Road Frames",2,2,"Components"
430,"FR-R72Y-40",14,"ML Road Frame-W - Yellow, 40",14,"Road Frames",2,2,"Components"
431,"FR-R72Y-42",14,"ML Road Frame-W - Yellow, 42",14,"Road Frames",2,2,"Components"
432,"FR-R72Y-42",14,"ML Road Frame-W - Yellow, 42",14,"Road Frames",2,2,"Components"
433,"FR-R72Y-44",14,"ML Road Frame-W - Yellow, 44",14,"Road Frames",2,2,"Components"
434,"FR-R72Y-44",14,"ML Road Frame-W - Yellow, 44",14,"Road Frames",2,2,"Components"
435,"FR-R72Y-48",14,"ML Road Frame-W - Yellow, 48",14,"Road Frames",2,2,"Components"
436,"FR-R72Y-48",14,"ML Road Frame-W - Yellow, 48",14,"Road Frames",2,2,"Components"
437,"FR-R92B-62",14,"HL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
438,"FR-R92B-62",14,"HL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
439,"FR-R92B-44",14,"HL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
440,"FR-R92B-44",14,"HL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
441,"FR-R92B-48",14,"HL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
442,"FR-R92B-48",14,"HL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
443,"FR-R92B-52",14,"HL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
444,"FR-R92B-52",14,"HL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
492,"FR-T98Y-60",16,"HL Touring Frame - Yellow, 60",16,"Touring Frames",2,2,"Components"
493,"FR-T67Y-62",16,"LL Touring Frame - Yellow, 62",16,"Touring Frames",2,2,"Components"
494,"FR-T98Y-46",16,"HL Touring Frame - Yellow, 46",16,"Touring Frames",2,2,"Components"
495,"FR-T98Y-50",16,"HL Touring Frame - Yellow, 50",16,"Touring Frames",2,2,"Components"
496,"FR-T98Y-54",16,"HL Touring Frame - Yellow, 54",16,"Touring Frames",2,2,"Components"
497,"FR-T98U-46",16,"HL Touring Frame - Blue, 46",16,"Touring Frames",2,2,"Components"
498,"FR-T98U-50",16,"HL Touring Frame - Blue, 50",16,"Touring Frames",2,2,"Components"
499,"FR-T98U-54",16,"HL Touring Frame - Blue, 54",16,"Touring Frames",2,2,"Components"
500,"FR-T98U-60",16,"HL Touring Frame - Blue, 60",16,"Touring Frames",2,2,"Components"
501,"RD-2308",9,"Rear Derailleur",9,"Derailleurs",2,2,"Components"
502,"FR-T67U-50",16,"LL Touring Frame - Blue, 50",16,"Touring Frames",2,2,"Components"
503,"FR-T67U-54",16,"LL Touring Frame - Blue, 54",16,"Touring Frames",2,2,"Components"
504,"FR-T67U-58",16,"LL Touring Frame - Blue, 58",16,"Touring Frames",2,2,"Components"
505,"FR-T67U-62",16,"LL Touring Frame - Blue, 62",16,"Touring Frames",2,2,"Components"
506,"FR-T67Y-44",16,"LL Touring Frame - Yellow, 44",16,"Touring Frames",2,2,"Components"
507,"FR-T67Y-50",16,"LL Touring Frame - Yellow, 50",16,"Touring Frames",2,2,"Components"
508,"FR-T67Y-54",16,"LL Touring Frame - Yellow, 54",16,"Touring Frames",2,2,"Components"
509,"FR-T67Y-58",16,"LL Touring Frame - Yellow, 58",16,"Touring Frames",2,2,"Components"
510,"FR-T67U-44",16,"LL Touring Frame - Blue, 44",16,"Touring Frames",2,2,"Components"
511,"FR-M63S-40",12,"ML Mountain Frame-W - Silver, 40",12,"Mountain Frames",2,2,"Components"
512,"FR-M63S-42",12,"ML Mountain Frame-W - Silver, 42",12,"Mountain Frames",2,2,"Components"
513,"FR-M63S-46",12,"ML Mountain Frame-W - Silver, 46",12,"Mountain Frames",2,2,"Components"
514,"RB-9231",6,"Rear Brakes",6,"Brakes",2,2,"Components"
515,"SE-M236",15,"LL Mountain Seat/Saddle",15,"Saddles",2,2,"Components"
516,"SE-M798",15,"ML Mountain Seat/Saddle",15,"Saddles",2,2,"Components"
517,"SE-M940",15,"HL Mountain Seat/Saddle",15,"Saddles",2,2,"Components"
518,"SE-R581",15,"LL Road Seat/Saddle",15,"Saddles",2,2,"Components"
519,"SE-R908",15,"ML Road Seat/Saddle",15,"Saddles",2,2,"Components"
520,"SE-R995",15,"HL Road Seat/Saddle",15,"Saddles",2,2,"Components"
521,"SE-T312",15,"LL Touring Seat/Saddle",15,"Saddles",2,2,"Components"
522,"SE-T762",15,"ML Touring Seat/Saddle",15,"Saddles",2,2,"Components"
523,"SE-T924",15,"HL Touring Seat/Saddle",15,"Saddles",2,2,"Components"
524,"FR-M21S-42",12,"LL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
525,"FR-M21S-44",12,"LL Mountain Frame - Silver, 44",12,"Mountain Frames",2,2,"Components"
