date,fulldatealternatekey,month,quarter,year
20050726,26-07-2005,July,3,2005
20050727,27-07-2005,July,3,2005
20050728,28-07-2005,July,3,2005
20050729,29-07-2005,July,3,2005
20050730,30-07-2005,July,3,2005
20050731,31-07-2005,July,3,2005
20050801,01-08-2005,August,3,2005
20050802,02-08-2005,August,3,2005
20050803,03-08-2005,August,3,2005
20050804,04-08-2005,August,3,2005
20050805,05-08-2005,August,3,2005
20050806,06-08-2005,August,3,2005
20050807,07-08-2005,August,3,2005
20050808,08-08-2005,August,3,2005
20050809,09-08-2005,August,3,2005
20050810,10-08-2005,August,3,2005
20050811,11-08-2005,August,3,2005
20050812,12-08-2005,August,3,2005
20050813,13-08-2005,August,3,2005
20050814,14-08-2005,August,3,2005
20050815,15-08-2005,August,3,2005
20050816,16-08-2005,August,3,2005
20050817,17-08-2005,August,3,2005
20050818,18-08-2005,August,3,2005
20050819,19-08-2005,August,3,2005
20050820,20-08-2005,August,3,2005
20050821,21-08-2005,August,3,2005
20050822,22-08-2005,August,3,2005
20050823,23-08-2005,August,3,2005
20050824,24-08-2005,August,3,2005
20050825,25-08-2005,August,3,2005
20050826,26-08-2005,August,3,2005
20050827,27-08-2005,August,3,2005
20050828,28-08-2005,August,3,2005
20050829,29-08-2005,August,3,2005
20050830,30-08-2005,August,3,2005
20050831,31-08-2005,August,3,2005
20050901,01-09-2005,September,3,2005
20050902,02-09-2005,September,3,2005
20050903,03-09-2005,September,3,2005
20050904,04-09-2005,September,3,2005
20050905,05-09-2005,September,3,2005
20050906,06-09-2005,September,3,2005
20050907,07-09-2005,September,3,2005
20050908,08-09-2005,September,3,2005
20050909,09-09-2005,September,3,2005
20050910,10-09-2005,September,3,2005
20050911,11-09-2005,September,3,2005
20050912,12-09-2005,September,3,2005
20050913,13-09-2005,September,3,2005
20050914,14-09-2005,September,3,2005
20050915,15-09-2005,September,3,2005
20050916,16-09-2005,September,3,2005
20050917,17-09-2005,September,3,2005
20050918,18-09-2005,September,3,2005
20050919,19-09-2005,September,3,2005
20050920,20-09-2005,September,3,2005
20050921,21-09-2005,September,3,2005
20050922,22-09-2005,September,3,2005
20050923,23-09-2005,September,3,2005
20050924,24-09-2005,September,3,2005
20050925,25-09-2005,September,3,2005
20050926,26-09-2005,September,3,2005
20050927,27-09-2005,September,3,2005
20050928,28-09-2005,September,3,2005
20050929,29-09-2005,September,3,2005
20050930,30-09-2005,September,3,2005
20051001,01-10-2005,October,4,2005
20051002,02-10-2005,October,4,2005
20051003,03-10-2005,October,4,2005
20051004,04-10-2005,October,4,2005
20051005,05-10-2005,October,4,2005
20051006,06-10-2005,October,4,2005
20051007,07-10-2005,October,4,2005
20051008,08-10-2005,October,4,2005
20051009,09-10-2005,October,4,2005
20051010,10-10-2005,October,4,2005
20051011,11-10-2005,October,4,2005
20051012,12-10-2005,October,4,2005
20051013,13-10-2005,October,4,2005
20051014,14-10-2005,October,4,2005
20051015,15-10-2005,October,4,2005
20051016,16-10-2005,October,4,2005
20051017,17-10-2005,October,4,2005
20051018,18-10-2005,October,4,2005
20051019,19-10-2005,October,4,2005
20051020,20-10-2005,October,4,2005
20051021,21-10-2005,October,4,2005
20051022,22-10-2005,October,4,2005
20051023,23-10-2005,October,4,2005
20051024,24-10-2005,October,4,2005
20051025,25-10-2005,October,4,2005
20051026,26-10-2005,October,4,2005
20051027,27-10-2005,October,4,2005
20051028,28-10-2005,October,4,2005
20051029,29-10-2005,October,4,2005
20051030,30-10-2005,October,4,2005
20051031,31-10-2005,October,4,2005
20051101,01-11-2005,November,4,2005
20051102,02-11-2005,November,4,2005
20051103,03-11-2005,November,4,2005
20051104,04-11-2005,November,4,2005
20051105,05-11-2005,November,4,2005
20051106,06-11-2005,November,4,2005
20051107,07-11-2005,November,4,2005
20051108,08-11-2005,November,4,2005
20051109,09-11-2005,November,4,2005
20051110,10-11-2005,November,4,2005
20051111,11-11-2005,November,4,2005
20051112,12-11-2005,November,4,2005
20051113,13-11-2005,November,4,2005
20051114,14-11-2005,November,4,2005
20051115,15-11-2005,November,4,2005
20051116,16-11-2005,November,4,2005
20051117,17-11-2005,November,4,2005
20051118,18-11-2005,November,4,2005
20051119,19-11-2005,November,4,2005
20051120,20-11-2005,November,4,2005
20051121,21-11-2005,November,4,2005
20051122,22-11-2005,November,4,2005
20051123,23-11-2005,November,4,2005
20051124,24-11-2005,November,4,2005
20051125,25-11-2005,November,4,2005
20051126,26-11-2005,November,4,2005
20051127,27-11-2005,November,4,2005
20051128,28-11-2005,November,4,2005
20051129,29-11-2005,November,4,2005
20051130,30-11-2005,November,4,2005
20051201,01-12-2005,December,4,2005
20051202,02-12-2005,December,4,2005
20051203,03-12-2005,December,4,2005
20051204,04-12-2005,December,4,2005
20051205,05-12-2005,December,4,2005
20051206,06-12-2005,December,4,2005
20051207,07-12-2005,December,4,2005
20051208,08-12-2005,December,4,2005
20051209,09-12-2005,December,4,2005
20051210,10-12-2005,December,4,2005
20051211,11-12-2005,December,4,2005
20051212,12-12-2005,December,4,2005
20051213,13-12-2005,December,4,2005
20051214,14-12-2005,December,4,2005
20051215,15-12-2005,December,4,2005
20051216,16-12-2005,December,4,2005
20051217,17-12-2005,December,4,2005
20051218,18-12-2005,December,4,2005
20051219,19-12-2005,December,4,2005
20051220,20-12-2005,December,4,2005
20051221,21-12-2005,December,4,2005
20051222,22-12-2005,December,4,2005
20051223,23-12-2005,December,4,2005
20051224,24-12-2005,December,4,2005
20051225,25-12-2005,December,4,2005
20051226,26-12-2005,December,4,2005
20051227,27-12-2005,December,4,2005
20051228,28-12-2005,December,4,2005
20051229,29-12-2005,December,4,2005
20051230,30-12-2005,December,4,2005
20051231,31-12-2005,December,4,2005
20060101,01-01-2006,January,1,2006
20060102,02-01-2006,January,1,2006
20060103,03-01-2006,January,1,2006
20060104,04-01-2006,January,1,2006
20060105,05-01-2006,January,1,2006
20060106,06-01-2006,January,1,2006
20060107,07-01-2006,January,1,2006
20060108,08-01-2006,January,1,2006
20060109,09-01-2006,January,1,2006
20060110,10-01-2006,January,1,2006
20060111,11-01-2006,January,1,2006
20060112,12-01-2006,January,1,2006
20060113,13-01-2006,January,1,2006
20060114,14-01-2006,January,1,2006
20060115,15-01-2006,January,1,2006
20060116,16-01-2006,January,1,2006
20060117,17-01-2006,January,1,2006
20060118,18-01-2006,January,1,2006
20060119,19-01-2006,January,1,2006
20060120,20-01-2006,January,1,2006
20060121,21-01-2006,January,1,2006
20060122,22-01-2006,January,1,2006
20060123,23-01-2006,January,1,2006
20060124,24-01-2006,January,1,2006
20060125,25-01-2006,January,1,2006
20060126,26-01-2006,January,1,2006
20060127,27-01-2006,January,1,2006
20060128,28-01-2006,January,1,2006
20060129,29-01-2006,January,1,2006
20060130,30-01-2006,January,1,2006
20060131,31-01-2006,January,1,2006
20060201,01-02-2006,February,1,2006
20060202,02-02-2006,February,1,2006
20060203,03-02-2006,February,1,2006
20060204,04-02-2006,February,1,2006
20060205,05-02-2006,February,1,2006
20060206,06-02-2006,February,1,2006
20060207,07-02-2006,February,1,2006
20060208,08-02-2006,February,1,2006
20060209,09-02-2006,February,1,2006
20060210,10-02-2006,February,1,2006
20060211,11-02-2006,February,1,2006
20060212,12-02-2006,February,1,2006
20060213,13-02-2006,February,1,2006
20060214,14-02-2006,February,1,2006
20060215,15-02-2006,February,1,2006
20060216,16-02-2006,February,1,2006
20060217,17-02-2006,February,1,2006
20060218,18-02-2006,February,1,2006
20060219,19-02-2006,February,1,2006
20060220,20-02-2006,February,1,2006
20060221,21-02-2006,February,1,2006
20060222,22-02-2006,February,1,2006
20060223,23-02-2006,February,1,2006
20060224,24-02-2006,February,1,2006
20060225,25-02-2006,February,1,2006
20060226,26-02-2006,February,1,2006
20060227,27-02-2006,February,1,2006
20060228,28-02-2006,February,1,2006
20060301,01-03-2006,March,1,2006
20060302,02-03-2006,March,1,2006
20060303,03-03-2006,March,1,2006
20060304,04-03-2006,March,1,2006
20060305,05-03-2006,March,1,2006
20060306,06-03-2006,March,1,2006
20060307,07-03-2006,March,1,2006
20060308,08-03-2006,March,1,2006
20060309,09-03-2006,March,1,2006
20060310,10-03-2006,March,1,2006
20060311,11-03-2006,March,1,2006
20060312,12-03-2006,March,1,2006
20060313,13-03-2006,March,1,2006
20060314,14-03-2006,March,1,2006
20060315,15-03-2006,March,1,2006
20060316,16-03-2006,March,1,2006
20060317,17-03-2006,March,1,2006
20060318,18-03-2006,March,1,2006
20060319,19-03-2006,March,1,2006
20060320,20-03-2006,March,1,2006
20060321,21-03-2006,March,1,2006
20060322,22-03-2006,March,1,2006
20060323,23-03-2006,March,1,2006
20060324,24-03-2006,March,1,2006
20060325,25-03-2006,March,1,2006
20060326,26-03-2006,March,1,2006
20060327,27-03-2006,March,1,2006
20060328,28-03-2006,March,1,2006
20060329,29-03-2006,March,1,2006
20060330,30-03-2006,March,1,2006
20060331,31-03-2006,March,1,2006
20060401,01-04-2006,April,2,2006
20060402,02-04-2006,April,2,2006
20060403,03-04-2006,April,2,2006
20060404,04-04-2006,April,2,2006
20060405,05-04-2006,April,2,2006
20060406,06-04-2006,April,2,2006
20060407,07-04-2006,April,2,2006
20060408,08-04-2006,April,2,2006
20060409,09-04-2006,April,2,2006
20060410,10-04-2006,April,2,2006
20060411,11-04-2006,April,2,2006
20060412,12-04-2006,April,2,2006
20060413,13-04-2006,April,2,2006
20060414,14-04-2006,April,2,2006
20060415,15-04-2006,April,2,2006
20060416,16-04-2006,April,2,2006
20060417,17-04-2006,April,2,2006
20060418,18-04-2006,April,2,2006
20060419,19-04-2006,April,2,2006
20060420,20-04-2006,April,2,2006
20060421,21-04-2006,April,2,2006
20060422,22-04-2006,April,2,2006
20060423,23-04-2006,April,2,2006
20060424,24-04-2006,April,2,2006
20060425,25-04-2006,April,2,2006
20060426,26-04-2006,April,2,2006
20060427,27-04-2006,April,2,2006
20060428,28-04-2006,April,2,2006
20060429,29-04-2006,April,2,2006
20060430,30-04-2006,April,2,2006
20060501,01-05-2006,May,2,2006
20060502,02-05-2006,May,2,2006
20060503,03-05-2006,May,2,2006
20060504,04-05-2006,May,2,2006
20060505,05-05-2006,May,2,2006
20060506,06-05-2006,May,2,2006
20060507,07-05-2006,May,2,2006
20060508,08-05-2006,May,2,2006
20060509,09-05-2006,May,2,2006
20060510,10-05-2006,May,2,2006
20060511,11-05-2006,May,2,2006
20060512,12-05-2006,May,2,2006
20060513,13-05-2006,May,2,2006
20060514,14-05-2006,May,2,2006
20060515,15-05-2006,May,2,2006
20060516,16-05-2006,May,2,2006
20060517,17-05-2006,May,2,2006
20060518,18-05-2006,May,2,2006
20060519,19-05-2006,May,2,2006
20060520,20-05-2006,May,2,2006
20060521,21-05-2006,May,2,2006
20060522,22-05-2006,May,2,2006
20060523,23-05-2006,May,2,2006
20060524,24-05-2006,May,2,2006
20060525,25-05-2006,May,2,2006
20060526,26-05-2006,May,2,2006
20060527,27-05-2006,May,2,2006
20060528,28-05-2006,May,2,2006
20060529,29-05-2006,May,2,2006
20060530,30-05-2006,May,2,2006
20060531,31-05-2006,May,2,2006
20060601,01-06-2006,June,2,2006
20060602,02-06-2006,June,2,2006
20060603,03-06-2006,June,2,2006
20060604,04-06-2006,June,2,2006
20060605,05-06-2006,June,2,2006
20060606,06-06-2006,June,2,2006
20060607,07-06-2006,June,2,2006
20060608,08-06-2006,June,2,2006
20060609,09-06-2006,June,2,2006
20060610,10-06-2006,June,2,2006
20060611,11-06-2006,June,2,2006
20060612,12-06-2006,June,2,2006
20060613,13-06-2006,June,2,2006
20060614,14-06-2006,June,2,2006
20060615,15-06-2006,June,2,2006
20060616,16-06-2006,June,2,2006
20060617,17-06-2006,June,2,2006
20060618,18-06-2006,June,2,2006
20060619,19-06-2006,June,2,2006
20060620,20-06-2006,June,2,2006
20060621,21-06-2006,June,2,2006
20060622,22-06-2006,June,2,2006
20060623,23-06-2006,June,2,2006
20060624,24-06-2006,June,2,2006
20060625,25-06-2006,June,2,2006
20060626,26-06-2006,June,2,2006
20060627,27-06-2006,June,2,2006
20060628,28-06-2006,June,2,2006
20060629,29-06-2006,June,2,2006
20060630,30-06-2006,June,2,2006
20060701,01-07-2006,July,3,2006
20060702,02-07-2006,July,3,2006
20060703,03-07-2006,July,3,2006
20060704,04-07-2006,July,3,2006
20060705,05-07-2006,July,3,2006
20060706,06-07-2006,July,3,2006
20060707,07-07-2006,July,3,2006
20060708,08-07-2006,July,3,2006
20060709,09-07-2006,July,3,2006
20060710,10-07-2006,July,3,2006
20060711,11-07-2006,July,3,2006
20060712,12-07-2006,July,3,2006
20060713,13-07-2006,July,3,2006
20060714,14-07-2006,July,3,2006
20060715,15-07-2006,July,3,2006
20060716,16-07-2006,July,3,2006
20060717,17-07-2006,July,3,2006
20060718,18-07-2006,July,3,2006
20060719,19-07-2006,July,3,2006
20060720,20-07-2006,July,3,2006
20060721,21-07-2006,July,3,2006
20060722,22-07-2006,July,3,2006
20060723,23-07-2006,July,3,2006
20060724,24-07-2006,July,3,2006
20060725,25-07-2006,July,3,2006
20060726,26-07-2006,July,3,2006
20060727,27-07-2006,July,3,2006
20060728,28-07-2006,July,3,2006
20060729,29-07-2006,July,3,2006
20060730,30-07-2006,July,3,2006
20060731,31-07-2006,July,3,2006
20060801,01-08-2006,August,3,2006
20060802,02-08-2006,August,3,2006
20060803,03-08-2006,August,3,2006
20060804,04-08-2006,August,3,2006
20060805,05-08-2006,August,3,2006
20060806,06-08-2006,August,3,2006
20060807,07-08-2006,August,3,2006
20060808,08-08-2006,August,3,2006
20060809,09-08-2006,August,3,2006
20060810,10-08-2006,August,3,2006
20060811,11-08-2006,August,3,2006
20060812,12-08-2006,August,3,2006
20060813,13-08-2006,August,3,2006
20060814,14-08-2006,August,3,2006
20060815,15-08-2006,August,3,2006
20060816,16-08-2006,August,3,2006
20060817,17-08-2006,August,3,2006
20060818,18-08-2006,August,3,2006
20060819,19-08-2006,August,3,2006
20060820,20-08-2006,August,3,2006
20060821,21-08-2006,August,3,2006
20060822,22-08-2006,August,3,2006
20060823,23-08-2006,August,3,2006
20060824,24-08-2006,August,3,2006
20060825,25-08-2006,August,3,2006
20060826,26-08-2006,August,3,2006
20060827,27-08-2006,August,3,2006
20060828,28-08-2006,August,3,2006
20060829,29-08-2006,August,3,2006
20060830,30-08-2006,August,3,2006
20060831,31-08-2006,August,3,2006
20060901,01-09-2006,September,3,2006
20060902,02-09-2006,September,3,2006
20060903,03-09-2006,September,3,2006
20060904,04-09-2006,September,3,2006
20060905,05-09-2006,September,3,2006
20060906,06-09-2006,September,3,2006
20060907,07-09-2006,September,3,2006
20060908,08-09-2006,September,3,2006
20060909,09-09-2006,September,3,2006
20060910,10-09-2006,September,3,2006
20060911,11-09-2006,September,3,2006
20060912,12-09-2006,September,3,2006
20060913,13-09-2006,September,3,2006
20060914,14-09-2006,September,3,2006
20060915,15-09-2006,September,3,2006
20060916,16-09-2006,September,3,2006
20060917,17-09-2006,September,3,2006
20060918,18-09-2006,September,3,2006
20060919,19-09-2006,September,3,2006
20061120,20-11-2006,November,4,2006
20060920,20-09-2006,September,3,2006
20060921,21-09-2006,September,3,2006
20060922,22-09-2006,September,3,2006
20060923,23-09-2006,September,3,2006
20060924,24-09-2006,September,3,2006
20060925,25-09-2006,September,3,2006
20060926,26-09-2006,September,3,2006
20060927,27-09-2006,September,3,2006
20060928,28-09-2006,September,3,2006
20060929,29-09-2006,September,3,2006
20060930,30-09-2006,September,3,2006
20061001,01-10-2006,October,4,2006
20061002,02-10-2006,October,4,2006
20061003,03-10-2006,October,4,2006
20061004,04-10-2006,October,4,2006
20061005,05-10-2006,October,4,2006
20061006,06-10-2006,October,4,2006
20061007,07-10-2006,October,4,2006
20061008,08-10-2006,October,4,2006
20061009,09-10-2006,October,4,2006
20061010,10-10-2006,October,4,2006
20061011,11-10-2006,October,4,2006
20061012,12-10-2006,October,4,2006
20061013,13-10-2006,October,4,2006
20061014,14-10-2006,October,4,2006
20061015,15-10-2006,October,4,2006
20061016,16-10-2006,October,4,2006
20061017,17-10-2006,October,4,2006
20061018,18-10-2006,October,4,2006
20061019,19-10-2006,October,4,2006
20061020,20-10-2006,October,4,2006
20061021,21-10-2006,October,4,2006
20061022,22-10-2006,October,4,2006
20061023,23-10-2006,October,4,2006
20061024,24-10-2006,October,4,2006
20061025,25-10-2006,October,4,2006
20061026,26-10-2006,October,4,2006
20061027,27-10-2006,October,4,2006
20061028,28-10-2006,October,4,2006
20061029,29-10-2006,October,4,2006
20061030,30-10-2006,October,4,2006
20061031,31-10-2006,October,4,2006
20061101,01-11-2006,November,4,2006
20061102,02-11-2006,November,4,2006
20061103,03-11-2006,November,4,2006
20061104,04-11-2006,November,4,2006
20061105,05-11-2006,November,4,2006
20061106,06-11-2006,November,4,2006
20061107,07-11-2006,November,4,2006
20061108,08-11-2006,November,4,2006
20061109,09-11-2006,November,4,2006
20061110,10-11-2006,November,4,2006
20061111,11-11-2006,November,4,2006
20061112,12-11-2006,November,4,2006
20061113,13-11-2006,November,4,2006
20061114,14-11-2006,November,4,2006
20061115,15-11-2006,November,4,2006
20061116,16-11-2006,November,4,2006
20061117,17-11-2006,November,4,2006
20061118,18-11-2006,November,4,2006
20061119,19-11-2006,November,4,2006
20061121,21-11-2006,November,4,2006
20061122,22-11-2006,November,4,2006
20061123,23-11-2006,November,4,2006
20061124,24-11-2006,November,4,2006
20061125,25-11-2006,November,4,2006
20061126,26-11-2006,November,4,2006
20061127,27-11-2006,November,4,2006
20061128,28-11-2006,November,4,2006
20061129,29-11-2006,November,4,2006
20061130,30-11-2006,November,4,2006
20061201,01-12-2006,December,4,2006
20061202,02-12-2006,December,4,2006
20061203,03-12-2006,December,4,2006
20061204,04-12-2006,December,4,2006
20061205,05-12-2006,December,4,2006
20061206,06-12-2006,December,4,2006
20061207,07-12-2006,December,4,2006
20061208,08-12-2006,December,4,2006
20061209,09-12-2006,December,4,2006
20061210,10-12-2006,December,4,2006
20061211,11-12-2006,December,4,2006
20061212,12-12-2006,December,4,2006
20061213,13-12-2006,December,4,2006
20061214,14-12-2006,December,4,2006
20061215,15-12-2006,December,4,2006
20061216,16-12-2006,December,4,2006
20061217,17-12-2006,December,4,2006
20061218,18-12-2006,December,4,2006
20061219,19-12-2006,December,4,2006
20061220,20-12-2006,December,4,2006
20061221,21-12-2006,December,4,2006
20061222,22-12-2006,December,4,2006
20061223,23-12-2006,December,4,2006
20061224,24-12-2006,December,4,2006
20061225,25-12-2006,December,4,2006
20061226,26-12-2006,December,4,2006
20061227,27-12-2006,December,4,2006
20061228,28-12-2006,December,4,2006
20061229,29-12-2006,December,4,2006
20061230,30-12-2006,December,4,2006
20061231,31-12-2006,December,4,2006
20070101,01-01-2007,January,1,2007
20070102,02-01-2007,January,1,2007
20070103,03-01-2007,January,1,2007
20070104,04-01-2007,January,1,2007
20070105,05-01-2007,January,1,2007
20070106,06-01-2007,January,1,2007
20070107,07-01-2007,January,1,2007
20070108,08-01-2007,January,1,2007
20070109,09-01-2007,January,1,2007
20070110,10-01-2007,January,1,2007
20070111,11-01-2007,January,1,2007
20070112,12-01-2007,January,1,2007
20070113,13-01-2007,January,1,2007
20070114,14-01-2007,January,1,2007
20070115,15-01-2007,January,1,2007
20070116,16-01-2007,January,1,2007
20070117,17-01-2007,January,1,2007
20070118,18-01-2007,January,1,2007
20070119,19-01-2007,January,1,2007
20070120,20-01-2007,January,1,2007
20070121,21-01-2007,January,1,2007
20070122,22-01-2007,January,1,2007
20070123,23-01-2007,January,1,2007
20070124,24-01-2007,January,1,2007
20070125,25-01-2007,January,1,2007
20070126,26-01-2007,January,1,2007
20070127,27-01-2007,January,1,2007
20070128,28-01-2007,January,1,2007
20070129,29-01-2007,January,1,2007
20070130,30-01-2007,January,1,2007
20070131,31-01-2007,January,1,2007
20070201,01-02-2007,February,1,2007
20070202,02-02-2007,February,1,2007
20070203,03-02-2007,February,1,2007
20070204,04-02-2007,February,1,2007
20070205,05-02-2007,February,1,2007
20070206,06-02-2007,February,1,2007
20070207,07-02-2007,February,1,2007
20070208,08-02-2007,February,1,2007
20070209,09-02-2007,February,1,2007
20070210,10-02-2007,February,1,2007
20070211,11-02-2007,February,1,2007
20070212,12-02-2007,February,1,2007
20070213,13-02-2007,February,1,2007
20070214,14-02-2007,February,1,2007
